Date,Net_Funding_Million_TRY
2023-01-25,196352.2
2023-01-26,180028.3
2023-01-27,180877.4
2023-01-30,191650.6
2023-01-31,225270.5
2023-02-01,212165.3
2023-02-02,213770.1
2023-02-03,216136.53
2023-02-06,217886.37
2023-02-07,215937.8
2023-02-08,223283.0
2023-02-09,234781.9
2023-02-10,173001.2
2023-02-13,111068.96
2023-02-14,75108.81
2023-02-15,62579.5
2023-02-16,40040.2
2023-02-17,100054.4
2023-02-20,106354.5
2023-02-21,143930.25
2023-02-22,174544.8
2023-02-23,158543.2
2023-02-24,195148.14
2023-02-27,178741.29
2023-02-28,123607.0
2023-03-01,143863.2
2023-03-02,111007.0
2023-03-03,155202.8
2023-03-06,148480.8
2023-03-07,149882.1
2023-03-08,174458.3
2023-03-09,186175.8
2023-03-10,192334.5
2023-03-13,158421.8
2023-03-14,131507.7
2023-03-15,116008.5
2023-03-16,109140.8
2023-03-17,158020.7
2023-03-20,191623.44
2023-03-21,207309.3
2023-03-22,240358.1
2023-03-23,211302.6
2023-03-24,168983.3
2023-03-27,164973.9
2023-03-28,169973.7
2023-03-29,174376.64
2023-03-30,230252.63
2023-03-31,223117.62
2023-04-03,221514.59
2023-04-04,220529.0
2023-04-05,234410.54
2023-04-06,228955.03
2023-04-07,242727.26
2023-04-10,269097.2
2023-04-11,294043.6
2023-04-12,308983.4
2023-04-13,265646.26
2023-04-14,285411.4
2023-04-17,298279.8
2023-04-18,326386.6
2023-04-19,351511.3
2023-04-20,389700.18
2023-04-21,
2023-04-24,404685.72
2023-04-25,381799.42
2023-04-26,362877.0
2023-04-27,345486.9
2023-04-28,392264.0
2023-05-01,
2023-05-02,434322.9
2023-05-03,393420.9
2023-05-04,390716.5
2023-05-05,338981.2
2023-05-08,355477.2
2023-05-09,400117.8
2023-05-10,517799.4
2023-05-11,454768.7
2023-05-12,534677.4
2023-05-15,449170.65
2023-05-16,439393.55
2023-05-17,438889.35
2023-05-18,487222.25
2023-05-19,
2023-05-22,461887.3
2023-05-23,483115.6
2023-05-24,498096.98
2023-05-25,583579.3
2023-05-26,616729.7
2023-05-29,584626.3
2023-05-30,599942.85
2023-05-31,671733.5
2023-06-01,678713.1
2023-06-02,688747.9
2023-06-05,652617.75
2023-06-06,654560.2
2023-06-07,629797.8
2023-06-08,562016.7
2023-06-09,596727.9
2023-06-12,581339.6
2023-06-13,505754.62
2023-06-14,469941.83
2023-06-15,455351.93
2023-06-16,379912.81
2023-06-19,312287.42
2023-06-20,293684.88
2023-06-21,294860.78
2023-06-22,264813.98
2023-06-23,267620.37
2023-06-26,221583.1
2023-06-27,230019.6
