Date,Transaction_Volume
2023-02-27,418392300.0
2023-02-28,305939210.0
2023-03-01,305129320.0
2023-03-02,288790850.0
2023-03-03,348805030.0
2023-03-06,240358000.0
2023-03-07,284858640.0
2023-03-08,264003480.0
2023-03-09,280209900.0
2023-03-10,235960000.0
2023-03-13,277450320.0
2023-03-14,425543000.0
2023-03-15,251992800.0
2023-03-16,284733075.0
2023-03-17,239081150.0
2023-03-20,335036920.0
2023-03-21,218457543.09
2023-03-22,223571830.0
2023-03-23,70905000.0
2023-03-24,229093500.0
2023-03-27,122292285.0
2023-03-28,247329760.0
2023-03-29,261899340.0
2023-03-30,387707760.0
2023-03-31,375280700.0
2023-04-03,327087400.0
2023-04-04,278874464.51
2023-04-05,246691400.0
2023-04-06,196548280.0
2023-04-07,209130120.0
2023-04-10,204592430.0
2023-04-11,209340080.0
2023-04-12,167087425.0
2023-04-13,88568700.0
2023-04-14,226814860.0
2023-04-17,178897600.0
2023-04-18,163084646.0
2023-04-19,65538500.0
2023-04-20,11000000.0
2023-04-21,
2023-04-24,45628750.0
2023-04-25,202712910.0
2023-04-26,59948780.0
2023-04-27,114595090.93
2023-04-28,75434010.0
2023-05-01,
2023-05-02,78235650.0
2023-05-03,109082900.0
2023-05-04,62409420.0
2023-05-05,20315220.0
2023-05-08,16497779.7
2023-05-09,31740043.38
2023-05-10,92170542.6
2023-05-11,37203939.36
2023-05-12,25082714.63
2023-05-15,23019146.4
2023-05-16,35857271.4
2023-05-17,48652219.5
2023-05-18,31755323.88
2023-05-19,
2023-05-22,12661161.78
2023-05-23,32811555.0
2023-05-24,65462778.6
2023-05-25,117189160.5
2023-05-26,41867127.12
2023-05-29,6108262.14
2023-05-30,10641991.5
2023-05-31,10750017.12
2023-06-01,17805600.0
2023-06-02,24300600.0
2023-06-05,25501000.0
2023-06-06,
2023-06-07,21700481.0
2023-06-08,26811705.75
2023-06-09,59143400.0
2023-06-12,30431806.11
2023-06-13,54843552.25
2023-06-14,
2023-06-15,34947500.0
2023-06-16,43234501.25
2023-06-19,127730532.4
2023-06-20,237295873.25
2023-06-21,320087311.4
2023-06-22,393246700.0
2023-06-23,454915407.5
2023-06-26,249820000.0
2023-06-27,111543129.0
2023-06-28,
2023-06-29,
2023-06-30,
2023-07-03,26460250.0
2023-07-04,1257668.85
2023-07-05,105481392.69
2023-07-06,20968500.0
2023-07-07,10234792.0
2023-07-10,1497750.0
2023-07-11,61509849.88
2023-07-12,12548798.25
2023-07-13,4992500.0
2023-07-14,
2023-07-17,62087907.0
2023-07-18,11717450.0
2023-07-19,11717276.41
2023-07-20,1997000.0
2023-07-21,21136960.0
2023-07-24,
2023-07-25,42989535.0
2023-07-26,41763566.5
2023-07-27,
2023-07-28,42137879.5
2023-07-31,
2023-08-01,54598170.5
2023-08-02,
2023-08-03,16393620.0
